Generation: 0. Average fitness: 41 Max size: 43, Max repeated: 1
Generation: 1. Average fitness: 41 Max size: 43, Max repeated: 1
Generation: 2. Average fitness: 41 Max size: 45, Max repeated: 2
Generation: 3. Average fitness: 41 Max size: 45, Max repeated: 1
Generation: 4. Average fitness: 42 Max size: 45, Max repeated: 2
Generation: 5. Average fitness: 42 Max size: 45, Max repeated: 3
Generation: 6. Average fitness: 42 Max size: 46, Max repeated: 4
Generation: 7. Average fitness: 42 Max size: 46, Max repeated: 1
Generation: 8. Average fitness: 42 Max size: 46, Max repeated: 2
Generation: 9. Average fitness: 42 Max size: 46, Max repeated: 3
Generation: 10. Average fitness: 43 Max size: 46, Max repeated: 4
Generation: 11. Average fitness: 43 Max size: 46, Max repeated: 5
Generation: 12. Average fitness: 43 Max size: 46, Max repeated: 6
Generation: 13. Average fitness: 44 Max size: 47, Max repeated: 7
Generation: 14. Average fitness: 44 Max size: 47, Max repeated: 1
Generation: 15. Average fitness: 43 Max size: 47, Max repeated: 2
Generation: 16. Average fitness: 44 Max size: 47, Max repeated: 3
Generation: 17. Average fitness: 45 Max size: 47, Max repeated: 4
Generation: 18. Average fitness: 45 Max size: 47, Max repeated: 5
Generation: 19. Average fitness: 46 Max size: 47, Max repeated: 6
Generation: 20. Average fitness: 46 Max size: 47, Max repeated: 7
Generation: 21. Average fitness: 47 Max size: 47, Max repeated: 8
Generation: 22. Average fitness: 47 Max size: 47, Max repeated: 9
Generation: 23. Average fitness: 47 Max size: 47, Max repeated: 10
Generation: 24. Average fitness: 47 Max size: 47, Max repeated: 11
Generation: 25. Average fitness: 47 Max size: 47, Max repeated: 12
Generation: 26. Average fitness: 47 Max size: 47, Max repeated: 13
Generation: 27. Average fitness: 47 Max size: 47, Max repeated: 14
Generation: 28. Average fitness: 47 Max size: 47, Max repeated: 15
Generation: 29. Average fitness: 47 Max size: 47, Max repeated: 16
Generation: 30. Average fitness: 47 Max size: 47, Max repeated: 17
