Regenerating population
Gen: 122. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 1
Gen: 123. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 2
Gen: 124. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 3
Gen: 125. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 4
Gen: 126. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 5
Gen: 127. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 6
Gen: 128. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 7
Gen: 129. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 8
Gen: 130. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 9
Gen: 131. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 10
Gen: 132. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 11
Gen: 133. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 12
Gen: 134. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 13
Gen: 135. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 14
Gen: 136. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 15
Gen: 137. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 16
Gen: 138. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 17
Gen: 139. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 18
Gen: 140. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 19
Gen: 141. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 20
Regenerating population
Gen: 142. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 1
Gen: 143. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 2
Gen: 144. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 3
Gen: 145. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 4
Gen: 146. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 5
Gen: 147. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 6
Gen: 148. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 7
Gen: 149. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 8
Gen: 150. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 9
Gen: 151. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 10
Gen: 152. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 11
Gen: 153. Avg: 16, Gen Max: 16, Max: 16, Gen. Max Repeated: 12
