Gen: 75. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 76. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 77. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 78. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Gen: 79. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 20
Regenerating population
Gen: 80. Avg: 9, Gen Max: 12, Max: 15, Gen. Max Repeated: 1
Gen: 81. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 82. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 83. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 84. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 85. Avg: 11, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 86. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 87. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 88. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 89. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 90. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 91. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 92. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 93. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 94. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 95. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 96. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 97. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 98. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 99. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 100. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Gen: 101. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 20
Regenerating population
Gen: 102. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 103. Avg: 9, Gen Max: 10, Max: 15, Gen. Max Repeated: 1
Gen: 104. Avg: 9, Gen Max: 11, Max: 15, Gen. Max Repeated: 2
Gen: 105. Avg: 10, Gen Max: 13, Max: 15, Gen. Max Repeated: 1
Gen: 106. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 107. Avg: 10, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
