Gen: 74. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 8
Gen: 75. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 9
Gen: 76. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 10
Gen: 77. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 11
Gen: 78. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 12
Gen: 79. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 13
Gen: 80. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 14
Gen: 81. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 15
Gen: 82. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 16
Gen: 83. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 17
Gen: 84. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 18
Gen: 85. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 19
Gen: 86. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 20
Regenerating population
Gen: 87. Avg: 58, Gen Max: 91, Max: 100, Gen. Max Repeated: 1
Gen: 88. Avg: 79, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 89. Avg: 97, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 90. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 2
Gen: 91. Avg: 98, Gen Max: 100, Max: 100, Gen. Max Repeated: 3
Gen: 92. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 4
Gen: 93. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 5
Gen: 94. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 6
Gen: 95. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 7
Gen: 96. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 8
Gen: 97. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 9
Gen: 98. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 10
Gen: 99. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 11
Gen: 100. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 12
Gen: 101. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 13
Gen: 102. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 14
Gen: 103. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 15
Gen: 104. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 16
Gen: 105. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 17
Gen: 106. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 18
Gen: 107. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 19
Gen: 108. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 20
Regenerating population
Gen: 109. Avg: 57, Gen Max: 77, Max: 100, Gen. Max Repeated: 1
Gen: 110. Avg: 79, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 111. Avg: 97, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 112. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 2
