Gen: 75. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 76. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 77. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 78. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 79. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 80. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Gen: 81. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 20
Regenerating population
Gen: 82. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 83. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 84. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 2
Gen: 85. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 3
Gen: 86. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 4
Gen: 87. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 5
Gen: 88. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 6
Gen: 89. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 7
Gen: 90. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 8
Gen: 91. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 9
Gen: 92. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 10
Gen: 93. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 11
Gen: 94. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 12
Gen: 95. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 13
Gen: 96. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 14
Gen: 97. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 15
Gen: 98. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 16
Gen: 99. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 17
Gen: 100. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 18
Gen: 101. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 19
Gen: 102. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 20
Regenerating population
Gen: 103. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 104. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 105. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 106. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 107. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 108. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 109. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 110. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 111. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 112. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 113. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 114. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 115. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 116. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 117. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 118. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 119. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 120. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 121. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 122. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Gen: 123. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 20
Regenerating population
Gen: 124. Avg: 12, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 125. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 1
Gen: 126. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 2
Gen: 127. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 3
Gen: 128. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 4
Gen: 129. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 5
Gen: 130. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 6
Gen: 131. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 7
Gen: 132. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 8
Gen: 133. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 9
Gen: 134. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 10
Gen: 135. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 11
Gen: 136. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 12
Gen: 137. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 13
Gen: 138. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 14
Gen: 139. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 15
Gen: 140. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 16
Gen: 141. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 17
Gen: 142. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 18
Gen: 143. Avg: 13, Gen Max: 14, Max: 15, Gen. Max Repeated: 19
