Generation: 0. Average fitness: 335 Max size: 338, Max repeated: 1
Generation: 1. Average fitness: 336 Max size: 338, Max repeated: 2
Generation: 2. Average fitness: 336 Max size: 339, Max repeated: 0
Generation: 3. Average fitness: 337 Max size: 340, Max repeated: 0
Generation: 4. Average fitness: 337 Max size: 340, Max repeated: 1
Generation: 5. Average fitness: 337 Max size: 340, Max repeated: 2
Generation: 6. Average fitness: 337 Max size: 340, Max repeated: 3
Generation: 7. Average fitness: 337 Max size: 340, Max repeated: 4
Generation: 8. Average fitness: 337 Max size: 340, Max repeated: 5
Generation: 9. Average fitness: 337 Max size: 340, Max repeated: 6
Generation: 10. Average fitness: 337 Max size: 340, Max repeated: 7
Generation: 11. Average fitness: 337 Max size: 340, Max repeated: 8
Generation: 12. Average fitness: 337 Max size: 340, Max repeated: 9
Generation: 13. Average fitness: 338 Max size: 340, Max repeated: 10
Generation: 14. Average fitness: 337 Max size: 340, Max repeated: 11
Generation: 15. Average fitness: 337 Max size: 340, Max repeated: 12
Generation: 16. Average fitness: 337 Max size: 340, Max repeated: 13
Generation: 17. Average fitness: 337 Max size: 340, Max repeated: 14
Generation: 18. Average fitness: 337 Max size: 340, Max repeated: 15
Generation: 19. Average fitness: 336 Max size: 340, Max repeated: 16
Generation: 20. Average fitness: 337 Max size: 340, Max repeated: 17
Generation: 21. Average fitness: 337 Max size: 340, Max repeated: 18
Generation: 22. Average fitness: 337 Max size: 340, Max repeated: 19
Generation: 23. Average fitness: 337 Max size: 340, Max repeated: 20
Generation: 24. Average fitness: 338 Max size: 340, Max repeated: 21
Generation: 25. Average fitness: 338 Max size: 340, Max repeated: 22
Generation: 26. Average fitness: 338 Max size: 340, Max repeated: 23
Generation: 27. Average fitness: 337 Max size: 340, Max repeated: 24
Generation: 28. Average fitness: 337 Max size: 340, Max repeated: 25
Generation: 29. Average fitness: 337 Max size: 340, Max repeated: 26
Generation: 30. Average fitness: 338 Max size: 340, Max repeated: 27
Generation: 31. Average fitness: 337 Max size: 340, Max repeated: 28
Generation: 32. Average fitness: 337 Max size: 340, Max repeated: 29
Generation: 33. Average fitness: 337 Max size: 340, Max repeated: 30
Generation: 34. Average fitness: 337 Max size: 340, Max repeated: 31
Generation: 35. Average fitness: 337 Max size: 340, Max repeated: 32
Generation: 36. Average fitness: 337 Max size: 340, Max repeated: 33
Generation: 37. Average fitness: 338 Max size: 340, Max repeated: 34
Generation: 38. Average fitness: 338 Max size: 340, Max repeated: 35
Generation: 39. Average fitness: 338 Max size: 340, Max repeated: 36
Generation: 40. Average fitness: 338 Max size: 340, Max repeated: 37
Generation: 41. Average fitness: 338 Max size: 340, Max repeated: 38
Generation: 42. Average fitness: 338 Max size: 340, Max repeated: 39
Generation: 43. Average fitness: 338 Max size: 340, Max repeated: 40
Generation: 44. Average fitness: 338 Max size: 341, Max repeated: 0
Generation: 45. Average fitness: 338 Max size: 341, Max repeated: 1
Generation: 46. Average fitness: 338 Max size: 341, Max repeated: 2
Generation: 47. Average fitness: 339 Max size: 341, Max repeated: 3
Generation: 48. Average fitness: 339 Max size: 341, Max repeated: 4
Generation: 49. Average fitness: 339 Max size: 341, Max repeated: 5
Generation: 50. Average fitness: 339 Max size: 341, Max repeated: 6
Generation: 51. Average fitness: 339 Max size: 341, Max repeated: 7
Generation: 52. Average fitness: 339 Max size: 341, Max repeated: 8
Generation: 53. Average fitness: 338 Max size: 341, Max repeated: 9
Generation: 54. Average fitness: 338 Max size: 341, Max repeated: 10
Generation: 55. Average fitness: 338 Max size: 341, Max repeated: 11
Generation: 56. Average fitness: 339 Max size: 341, Max repeated: 12
Generation: 57. Average fitness: 339 Max size: 341, Max repeated: 13
Generation: 58. Average fitness: 339 Max size: 341, Max repeated: 14
Generation: 59. Average fitness: 339 Max size: 341, Max repeated: 15
Generation: 60. Average fitness: 339 Max size: 341, Max repeated: 16
Generation: 61. Average fitness: 339 Max size: 341, Max repeated: 17
Generation: 62. Average fitness: 339 Max size: 341, Max repeated: 18
Generation: 63. Average fitness: 339 Max size: 341, Max repeated: 19
Generation: 64. Average fitness: 339 Max size: 341, Max repeated: 20
Generation: 65. Average fitness: 339 Max size: 341, Max repeated: 21
Generation: 66. Average fitness: 339 Max size: 341, Max repeated: 22
Generation: 67. Average fitness: 339 Max size: 341, Max repeated: 23
Generation: 68. Average fitness: 339 Max size: 342, Max repeated: 0
Generation: 69. Average fitness: 339 Max size: 342, Max repeated: 1
Generation: 70. Average fitness: 339 Max size: 342, Max repeated: 2
Generation: 71. Average fitness: 339 Max size: 342, Max repeated: 3
Generation: 72. Average fitness: 339 Max size: 342, Max repeated: 4
Generation: 73. Average fitness: 339 Max size: 342, Max repeated: 5
Generation: 74. Average fitness: 338 Max size: 342, Max repeated: 6
Generation: 75. Average fitness: 338 Max size: 342, Max repeated: 7
Generation: 76. Average fitness: 339 Max size: 342, Max repeated: 8
Generation: 77. Average fitness: 339 Max size: 342, Max repeated: 9
Generation: 78. Average fitness: 338 Max size: 342, Max repeated: 10
Generation: 79. Average fitness: 338 Max size: 342, Max repeated: 11
Generation: 80. Average fitness: 338 Max size: 342, Max repeated: 12
Generation: 81. Average fitness: 338 Max size: 342, Max repeated: 13
Generation: 82. Average fitness: 338 Max size: 342, Max repeated: 14
Generation: 83. Average fitness: 337 Max size: 342, Max repeated: 15
Generation: 84. Average fitness: 337 Max size: 342, Max repeated: 16
Generation: 85. Average fitness: 337 Max size: 342, Max repeated: 17
Generation: 86. Average fitness: 337 Max size: 342, Max repeated: 18
Generation: 87. Average fitness: 337 Max size: 342, Max repeated: 19
Generation: 88. Average fitness: 337 Max size: 342, Max repeated: 20
Generation: 89. Average fitness: 337 Max size: 342, Max repeated: 21
Generation: 90. Average fitness: 337 Max size: 342, Max repeated: 22
Generation: 91. Average fitness: 337 Max size: 342, Max repeated: 23
Generation: 92. Average fitness: 337 Max size: 342, Max repeated: 24
Generation: 93. Average fitness: 337 Max size: 342, Max repeated: 25
Generation: 94. Average fitness: 337 Max size: 342, Max repeated: 26
Generation: 95. Average fitness: 337 Max size: 342, Max repeated: 27
Generation: 96. Average fitness: 337 Max size: 342, Max repeated: 28
Generation: 97. Average fitness: 337 Max size: 342, Max repeated: 29
Generation: 98. Average fitness: 337 Max size: 342, Max repeated: 30
Generation: 99. Average fitness: 337 Max size: 342, Max repeated: 31
Generation: 100. Average fitness: 337 Max size: 342, Max repeated: 32
Generation: 101. Average fitness: 337 Max size: 342, Max repeated: 33
Generation: 102. Average fitness: 337 Max size: 342, Max repeated: 34
Generation: 103. Average fitness: 337 Max size: 342, Max repeated: 35
Generation: 104. Average fitness: 337 Max size: 342, Max repeated: 36
Generation: 105. Average fitness: 337 Max size: 342, Max repeated: 37
Generation: 106. Average fitness: 337 Max size: 342, Max repeated: 38
Generation: 107. Average fitness: 337 Max size: 342, Max repeated: 39
Generation: 108. Average fitness: 337 Max size: 342, Max repeated: 40
Generation: 109. Average fitness: 337 Max size: 342, Max repeated: 41
Generation: 110. Average fitness: 337 Max size: 342, Max repeated: 42
Generation: 111. Average fitness: 337 Max size: 342, Max repeated: 43
Generation: 112. Average fitness: 337 Max size: 342, Max repeated: 44
Generation: 113. Average fitness: 337 Max size: 342, Max repeated: 45
Generation: 114. Average fitness: 337 Max size: 342, Max repeated: 46
Generation: 115. Average fitness: 337 Max size: 342, Max repeated: 47
Generation: 116. Average fitness: 337 Max size: 342, Max repeated: 48
Generation: 117. Average fitness: 337 Max size: 342, Max repeated: 49
Regenerating population
Generation: 118. Average fitness: 335 Max size: 342, Max repeated: 0
Generation: 119. Average fitness: 336 Max size: 342, Max repeated: 1
Generation: 120. Average fitness: 336 Max size: 342, Max repeated: 2
Generation: 121. Average fitness: 336 Max size: 342, Max repeated: 3
Generation: 122. Average fitness: 337 Max size: 342, Max repeated: 4
Generation: 123. Average fitness: 337 Max size: 342, Max repeated: 5
Generation: 124. Average fitness: 338 Max size: 342, Max repeated: 6
Generation: 125. Average fitness: 337 Max size: 342, Max repeated: 7
Generation: 126. Average fitness: 338 Max size: 342, Max repeated: 8
Generation: 127. Average fitness: 338 Max size: 342, Max repeated: 9
Generation: 128. Average fitness: 339 Max size: 342, Max repeated: 10
Generation: 129. Average fitness: 339 Max size: 342, Max repeated: 11
Generation: 130. Average fitness: 339 Max size: 342, Max repeated: 12
Generation: 131. Average fitness: 339 Max size: 342, Max repeated: 13
Generation: 132. Average fitness: 339 Max size: 342, Max repeated: 14
Generation: 133. Average fitness: 339 Max size: 342, Max repeated: 15
Generation: 134. Average fitness: 339 Max size: 342, Max repeated: 16
Generation: 135. Average fitness: 339 Max size: 342, Max repeated: 17
Generation: 136. Average fitness: 339 Max size: 342, Max repeated: 18
Generation: 137. Average fitness: 339 Max size: 342, Max repeated: 19
Generation: 138. Average fitness: 339 Max size: 342, Max repeated: 20
Generation: 139. Average fitness: 339 Max size: 342, Max repeated: 21
Generation: 140. Average fitness: 340 Max size: 342, Max repeated: 22
Generation: 141. Average fitness: 339 Max size: 342, Max repeated: 23
Generation: 142. Average fitness: 339 Max size: 342, Max repeated: 24
Generation: 143. Average fitness: 339 Max size: 342, Max repeated: 25
Generation: 144. Average fitness: 339 Max size: 342, Max repeated: 26
Generation: 145. Average fitness: 338 Max size: 342, Max repeated: 27
Generation: 146. Average fitness: 339 Max size: 342, Max repeated: 28
Generation: 147. Average fitness: 338 Max size: 342, Max repeated: 29
Generation: 148. Average fitness: 339 Max size: 342, Max repeated: 30
Generation: 149. Average fitness: 339 Max size: 342, Max repeated: 31
Generation: 150. Average fitness: 339 Max size: 342, Max repeated: 32
Generation: 151. Average fitness: 339 Max size: 342, Max repeated: 33
Generation: 152. Average fitness: 339 Max size: 342, Max repeated: 34
Generation: 153. Average fitness: 339 Max size: 342, Max repeated: 35
Generation: 154. Average fitness: 339 Max size: 342, Max repeated: 36
Generation: 155. Average fitness: 339 Max size: 342, Max repeated: 37
Generation: 156. Average fitness: 339 Max size: 342, Max repeated: 38
Generation: 157. Average fitness: 339 Max size: 342, Max repeated: 39
Generation: 158. Average fitness: 339 Max size: 342, Max repeated: 40
Generation: 159. Average fitness: 339 Max size: 342, Max repeated: 41
Generation: 160. Average fitness: 339 Max size: 342, Max repeated: 42
Generation: 161. Average fitness: 339 Max size: 342, Max repeated: 43
Generation: 162. Average fitness: 339 Max size: 342, Max repeated: 44
Generation: 163. Average fitness: 339 Max size: 342, Max repeated: 45
Generation: 164. Average fitness: 339 Max size: 342, Max repeated: 46
Generation: 165. Average fitness: 339 Max size: 342, Max repeated: 47
Generation: 166. Average fitness: 339 Max size: 342, Max repeated: 48
Generation: 167. Average fitness: 339 Max size: 342, Max repeated: 49
Regenerating population
Generation: 168. Average fitness: 335 Max size: 342, Max repeated: 0
Generation: 169. Average fitness: 336 Max size: 342, Max repeated: 1
Generation: 170. Average fitness: 336 Max size: 342, Max repeated: 2
Generation: 171. Average fitness: 337 Max size: 342, Max repeated: 3
Generation: 172. Average fitness: 337 Max size: 342, Max repeated: 4
Generation: 173. Average fitness: 337 Max size: 342, Max repeated: 5
Generation: 174. Average fitness: 337 Max size: 342, Max repeated: 6
Generation: 175. Average fitness: 337 Max size: 342, Max repeated: 7
Generation: 176. Average fitness: 337 Max size: 342, Max repeated: 8
Generation: 177. Average fitness: 337 Max size: 342, Max repeated: 9
Generation: 178. Average fitness: 337 Max size: 342, Max repeated: 10
Generation: 179. Average fitness: 337 Max size: 342, Max repeated: 11
Generation: 180. Average fitness: 337 Max size: 342, Max repeated: 12
Generation: 181. Average fitness: 337 Max size: 342, Max repeated: 13
Generation: 182. Average fitness: 337 Max size: 342, Max repeated: 14
Generation: 183. Average fitness: 337 Max size: 342, Max repeated: 15
Generation: 184. Average fitness: 337 Max size: 342, Max repeated: 16
Generation: 185. Average fitness: 337 Max size: 342, Max repeated: 17
Generation: 186. Average fitness: 337 Max size: 342, Max repeated: 18
Generation: 187. Average fitness: 337 Max size: 342, Max repeated: 19
Generation: 188. Average fitness: 338 Max size: 342, Max repeated: 20
Generation: 189. Average fitness: 339 Max size: 342, Max repeated: 21
Generation: 190. Average fitness: 339 Max size: 342, Max repeated: 22
