Generation: 0. Average fitness: 40 Max size: 47, Max repeated: 1
Generation: 1. Average fitness: 48 Max size: 56, Max repeated: 0
Generation: 2. Average fitness: 50 Max size: 58, Max repeated: 0
Generation: 3. Average fitness: 53 Max size: 60, Max repeated: 0
Generation: 4. Average fitness: 55 Max size: 61, Max repeated: 0
Generation: 5. Average fitness: 57 Max size: 61, Max repeated: 1
Generation: 6. Average fitness: 57 Max size: 62, Max repeated: 0
Generation: 7. Average fitness: 58 Max size: 63, Max repeated: 0
Generation: 8. Average fitness: 60 Max size: 63, Max repeated: 1
Generation: 9. Average fitness: 60 Max size: 63, Max repeated: 2
Generation: 10. Average fitness: 61 Max size: 63, Max repeated: 3
Generation: 11. Average fitness: 61 Max size: 64, Max repeated: 0
Generation: 12. Average fitness: 62 Max size: 64, Max repeated: 1
Generation: 13. Average fitness: 62 Max size: 64, Max repeated: 2
Generation: 14. Average fitness: 62 Max size: 65, Max repeated: 0
Generation: 15. Average fitness: 62 Max size: 65, Max repeated: 1
Generation: 16. Average fitness: 62 Max size: 65, Max repeated: 2
Generation: 17. Average fitness: 62 Max size: 65, Max repeated: 3
Generation: 18. Average fitness: 63 Max size: 65, Max repeated: 4
Generation: 19. Average fitness: 64 Max size: 65, Max repeated: 5
Generation: 20. Average fitness: 64 Max size: 65, Max repeated: 6
Generation: 21. Average fitness: 64 Max size: 65, Max repeated: 7
Generation: 22. Average fitness: 64 Max size: 65, Max repeated: 8
Generation: 23. Average fitness: 64 Max size: 65, Max repeated: 9
Generation: 24. Average fitness: 64 Max size: 65, Max repeated: 10
Generation: 25. Average fitness: 64 Max size: 65, Max repeated: 11
Generation: 26. Average fitness: 64 Max size: 65, Max repeated: 12
Generation: 27. Average fitness: 64 Max size: 65, Max repeated: 13
Generation: 28. Average fitness: 64 Max size: 65, Max repeated: 14
Generation: 29. Average fitness: 64 Max size: 65, Max repeated: 15
Generation: 30. Average fitness: 64 Max size: 65, Max repeated: 16
Generation: 31. Average fitness: 64 Max size: 65, Max repeated: 17
Generation: 32. Average fitness: 64 Max size: 65, Max repeated: 18
Generation: 33. Average fitness: 64 Max size: 65, Max repeated: 19
Generation: 34. Average fitness: 64 Max size: 65, Max repeated: 20
Generation: 35. Average fitness: 64 Max size: 65, Max repeated: 21
Generation: 36. Average fitness: 64 Max size: 65, Max repeated: 22
Generation: 37. Average fitness: 64 Max size: 65, Max repeated: 23
Generation: 38. Average fitness: 64 Max size: 65, Max repeated: 24
Generation: 39. Average fitness: 64 Max size: 65, Max repeated: 25
Generation: 40. Average fitness: 64 Max size: 65, Max repeated: 26
Generation: 41. Average fitness: 64 Max size: 65, Max repeated: 27
Generation: 42. Average fitness: 64 Max size: 65, Max repeated: 28
Generation: 43. Average fitness: 64 Max size: 65, Max repeated: 29
Generation: 44. Average fitness: 64 Max size: 65, Max repeated: 30
Generation: 45. Average fitness: 64 Max size: 65, Max repeated: 31
Generation: 46. Average fitness: 64 Max size: 65, Max repeated: 32
Generation: 47. Average fitness: 64 Max size: 65, Max repeated: 33
Generation: 48. Average fitness: 64 Max size: 65, Max repeated: 34
Generation: 49. Average fitness: 64 Max size: 65, Max repeated: 35
Generation: 50. Average fitness: 64 Max size: 65, Max repeated: 36
Generation: 51. Average fitness: 64 Max size: 65, Max repeated: 37
Generation: 52. Average fitness: 64 Max size: 65, Max repeated: 38
Generation: 53. Average fitness: 64 Max size: 65, Max repeated: 39
Generation: 54. Average fitness: 64 Max size: 65, Max repeated: 40
Generation: 55. Average fitness: 63 Max size: 65, Max repeated: 41
Generation: 56. Average fitness: 64 Max size: 65, Max repeated: 42
Generation: 57. Average fitness: 64 Max size: 65, Max repeated: 43
Generation: 58. Average fitness: 64 Max size: 65, Max repeated: 44
Generation: 59. Average fitness: 64 Max size: 65, Max repeated: 45
Generation: 60. Average fitness: 64 Max size: 65, Max repeated: 46
Generation: 61. Average fitness: 64 Max size: 65, Max repeated: 47
Generation: 62. Average fitness: 64 Max size: 65, Max repeated: 48
Generation: 63. Average fitness: 64 Max size: 65, Max repeated: 49
Regenerating population
Generation: 64. Average fitness: 40 Max size: 65, Max repeated: 0
Generation: 65. Average fitness: 45 Max size: 65, Max repeated: 1
Generation: 66. Average fitness: 49 Max size: 65, Max repeated: 2
Generation: 67. Average fitness: 51 Max size: 65, Max repeated: 3
Generation: 68. Average fitness: 54 Max size: 65, Max repeated: 4
Generation: 69. Average fitness: 56 Max size: 65, Max repeated: 5
Generation: 70. Average fitness: 56 Max size: 65, Max repeated: 6
Generation: 71. Average fitness: 57 Max size: 65, Max repeated: 7
Generation: 72. Average fitness: 58 Max size: 65, Max repeated: 8
Generation: 73. Average fitness: 59 Max size: 65, Max repeated: 9
Generation: 74. Average fitness: 59 Max size: 65, Max repeated: 10
Generation: 75. Average fitness: 60 Max size: 65, Max repeated: 11
Generation: 76. Average fitness: 60 Max size: 65, Max repeated: 12
Generation: 77. Average fitness: 60 Max size: 65, Max repeated: 13
Generation: 78. Average fitness: 62 Max size: 65, Max repeated: 14
Generation: 79. Average fitness: 61 Max size: 65, Max repeated: 15
Generation: 80. Average fitness: 63 Max size: 65, Max repeated: 16
Generation: 81. Average fitness: 63 Max size: 65, Max repeated: 17
Generation: 82. Average fitness: 63 Max size: 65, Max repeated: 18
Generation: 83. Average fitness: 63 Max size: 65, Max repeated: 19
Generation: 84. Average fitness: 63 Max size: 65, Max repeated: 20
Generation: 85. Average fitness: 63 Max size: 65, Max repeated: 21
Generation: 86. Average fitness: 62 Max size: 65, Max repeated: 22
Generation: 87. Average fitness: 63 Max size: 65, Max repeated: 23
Generation: 88. Average fitness: 63 Max size: 65, Max repeated: 24
Generation: 89. Average fitness: 63 Max size: 65, Max repeated: 25
Generation: 90. Average fitness: 63 Max size: 65, Max repeated: 26
Generation: 91. Average fitness: 63 Max size: 65, Max repeated: 27
Generation: 92. Average fitness: 63 Max size: 65, Max repeated: 28
Generation: 93. Average fitness: 63 Max size: 65, Max repeated: 29
Generation: 94. Average fitness: 63 Max size: 65, Max repeated: 30
Generation: 95. Average fitness: 63 Max size: 65, Max repeated: 31
Generation: 96. Average fitness: 63 Max size: 65, Max repeated: 32
Generation: 97. Average fitness: 63 Max size: 65, Max repeated: 33
Generation: 98. Average fitness: 62 Max size: 65, Max repeated: 34
Generation: 99. Average fitness: 63 Max size: 65, Max repeated: 35
Generation: 100. Average fitness: 63 Max size: 65, Max repeated: 36
Generation: 101. Average fitness: 62 Max size: 65, Max repeated: 37
Generation: 102. Average fitness: 63 Max size: 65, Max repeated: 38
Generation: 103. Average fitness: 63 Max size: 65, Max repeated: 39
Generation: 104. Average fitness: 63 Max size: 65, Max repeated: 40
Generation: 105. Average fitness: 63 Max size: 65, Max repeated: 41
Generation: 106. Average fitness: 63 Max size: 65, Max repeated: 42
Generation: 107. Average fitness: 63 Max size: 65, Max repeated: 43
Generation: 108. Average fitness: 63 Max size: 65, Max repeated: 44
Generation: 109. Average fitness: 63 Max size: 65, Max repeated: 45
Generation: 110. Average fitness: 63 Max size: 65, Max repeated: 46
Generation: 111. Average fitness: 63 Max size: 65, Max repeated: 47
Generation: 112. Average fitness: 62 Max size: 65, Max repeated: 48
Generation: 113. Average fitness: 63 Max size: 65, Max repeated: 49
Regenerating population
Generation: 114. Average fitness: 40 Max size: 65, Max repeated: 0
Generation: 115. Average fitness: 45 Max size: 65, Max repeated: 1
Generation: 116. Average fitness: 48 Max size: 65, Max repeated: 2
Generation: 117. Average fitness: 49 Max size: 65, Max repeated: 3
Generation: 118. Average fitness: 53 Max size: 65, Max repeated: 4
Generation: 119. Average fitness: 54 Max size: 65, Max repeated: 5
Generation: 120. Average fitness: 55 Max size: 65, Max repeated: 6
Generation: 121. Average fitness: 56 Max size: 65, Max repeated: 7
Generation: 122. Average fitness: 56 Max size: 65, Max repeated: 8
Generation: 123. Average fitness: 57 Max size: 65, Max repeated: 9
Generation: 124. Average fitness: 57 Max size: 65, Max repeated: 10
Generation: 125. Average fitness: 58 Max size: 65, Max repeated: 11
Generation: 126. Average fitness: 58 Max size: 65, Max repeated: 12
Generation: 127. Average fitness: 60 Max size: 65, Max repeated: 13
Generation: 128. Average fitness: 60 Max size: 65, Max repeated: 14
Generation: 129. Average fitness: 62 Max size: 65, Max repeated: 15
