Generation: 0. Average fitness: 31 Max size: 36, Max repeated: 1
Generation: 1. Average fitness: 34 Max size: 41, Max repeated: 0
Generation: 2. Average fitness: 37 Max size: 41, Max repeated: 1
Generation: 3. Average fitness: 38 Max size: 43, Max repeated: 0
Generation: 4. Average fitness: 39 Max size: 43, Max repeated: 1
Generation: 5. Average fitness: 40 Max size: 43, Max repeated: 2
Generation: 6. Average fitness: 40 Max size: 44, Max repeated: 0
Generation: 7. Average fitness: 41 Max size: 44, Max repeated: 1
Generation: 8. Average fitness: 42 Max size: 45, Max repeated: 0
Generation: 9. Average fitness: 43 Max size: 46, Max repeated: 0
Generation: 10. Average fitness: 43 Max size: 46, Max repeated: 1
Generation: 11. Average fitness: 43 Max size: 46, Max repeated: 2
Generation: 12. Average fitness: 44 Max size: 46, Max repeated: 3
Generation: 13. Average fitness: 44 Max size: 46, Max repeated: 4
Generation: 14. Average fitness: 44 Max size: 46, Max repeated: 5
Generation: 15. Average fitness: 44 Max size: 46, Max repeated: 6
Generation: 16. Average fitness: 44 Max size: 46, Max repeated: 7
Generation: 17. Average fitness: 45 Max size: 46, Max repeated: 8
Generation: 18. Average fitness: 45 Max size: 46, Max repeated: 9
Generation: 19. Average fitness: 45 Max size: 46, Max repeated: 10
Generation: 20. Average fitness: 45 Max size: 46, Max repeated: 11
Generation: 21. Average fitness: 45 Max size: 46, Max repeated: 12
Generation: 22. Average fitness: 45 Max size: 46, Max repeated: 13
Generation: 23. Average fitness: 45 Max size: 46, Max repeated: 14
Generation: 24. Average fitness: 45 Max size: 46, Max repeated: 15
Generation: 25. Average fitness: 45 Max size: 46, Max repeated: 16
Generation: 26. Average fitness: 45 Max size: 46, Max repeated: 17
Generation: 27. Average fitness: 45 Max size: 46, Max repeated: 18
Generation: 28. Average fitness: 45 Max size: 46, Max repeated: 19
Generation: 29. Average fitness: 45 Max size: 46, Max repeated: 20
Generation: 30. Average fitness: 45 Max size: 46, Max repeated: 21
Generation: 31. Average fitness: 45 Max size: 46, Max repeated: 22
Generation: 32. Average fitness: 45 Max size: 46, Max repeated: 23
Generation: 33. Average fitness: 45 Max size: 46, Max repeated: 24
Generation: 34. Average fitness: 45 Max size: 46, Max repeated: 25
Generation: 35. Average fitness: 45 Max size: 46, Max repeated: 26
Generation: 36. Average fitness: 44 Max size: 46, Max repeated: 27
Generation: 37. Average fitness: 45 Max size: 46, Max repeated: 28
Generation: 38. Average fitness: 45 Max size: 46, Max repeated: 29
Generation: 39. Average fitness: 45 Max size: 46, Max repeated: 30
Generation: 40. Average fitness: 44 Max size: 46, Max repeated: 31
Generation: 41. Average fitness: 44 Max size: 46, Max repeated: 32
Generation: 42. Average fitness: 45 Max size: 46, Max repeated: 33
Generation: 43. Average fitness: 45 Max size: 46, Max repeated: 34
Generation: 44. Average fitness: 45 Max size: 46, Max repeated: 35
Generation: 45. Average fitness: 45 Max size: 46, Max repeated: 36
Generation: 46. Average fitness: 45 Max size: 46, Max repeated: 37
Generation: 47. Average fitness: 45 Max size: 46, Max repeated: 38
Generation: 48. Average fitness: 45 Max size: 46, Max repeated: 39
Generation: 49. Average fitness: 45 Max size: 46, Max repeated: 40
Generation: 50. Average fitness: 45 Max size: 46, Max repeated: 41
