Generation: 145. Average fitness: 43 Max size: 44, Max repeated: 19
Regenerating population
Generation: 146. Average fitness: 32 Max size: 44, Max repeated: 0
Generation: 147. Average fitness: 33 Max size: 44, Max repeated: 1
Generation: 148. Average fitness: 34 Max size: 44, Max repeated: 2
Generation: 149. Average fitness: 35 Max size: 44, Max repeated: 3
Generation: 150. Average fitness: 38 Max size: 44, Max repeated: 4
Generation: 151. Average fitness: 41 Max size: 44, Max repeated: 5
Generation: 152. Average fitness: 42 Max size: 44, Max repeated: 6
Generation: 153. Average fitness: 43 Max size: 44, Max repeated: 7
Generation: 154. Average fitness: 43 Max size: 44, Max repeated: 8
Generation: 155. Average fitness: 43 Max size: 44, Max repeated: 9
Generation: 156. Average fitness: 43 Max size: 44, Max repeated: 10
Generation: 157. Average fitness: 43 Max size: 44, Max repeated: 11
Generation: 158. Average fitness: 43 Max size: 44, Max repeated: 12
Generation: 159. Average fitness: 43 Max size: 44, Max repeated: 13
Generation: 160. Average fitness: 43 Max size: 44, Max repeated: 14
Generation: 161. Average fitness: 43 Max size: 44, Max repeated: 15
Generation: 162. Average fitness: 43 Max size: 44, Max repeated: 16
Generation: 163. Average fitness: 43 Max size: 44, Max repeated: 17
Generation: 164. Average fitness: 43 Max size: 44, Max repeated: 18
Generation: 165. Average fitness: 43 Max size: 44, Max repeated: 19
Regenerating population
Generation: 166. Average fitness: 32 Max size: 44, Max repeated: 0
Generation: 167. Average fitness: 32 Max size: 44, Max repeated: 1
Generation: 168. Average fitness: 33 Max size: 44, Max repeated: 2
Generation: 169. Average fitness: 33 Max size: 44, Max repeated: 3
Generation: 170. Average fitness: 35 Max size: 44, Max repeated: 4
Generation: 171. Average fitness: 36 Max size: 44, Max repeated: 5
Generation: 172. Average fitness: 38 Max size: 44, Max repeated: 6
Generation: 173. Average fitness: 40 Max size: 44, Max repeated: 7
Generation: 174. Average fitness: 42 Max size: 44, Max repeated: 8
Generation: 175. Average fitness: 43 Max size: 44, Max repeated: 9
Generation: 176. Average fitness: 43 Max size: 44, Max repeated: 10
Generation: 177. Average fitness: 43 Max size: 44, Max repeated: 11
Generation: 178. Average fitness: 43 Max size: 44, Max repeated: 12
Generation: 179. Average fitness: 43 Max size: 44, Max repeated: 13
Generation: 180. Average fitness: 43 Max size: 44, Max repeated: 14
Generation: 181. Average fitness: 43 Max size: 44, Max repeated: 15
Generation: 182. Average fitness: 43 Max size: 44, Max repeated: 16
Generation: 183. Average fitness: 43 Max size: 44, Max repeated: 17
Generation: 184. Average fitness: 43 Max size: 44, Max repeated: 18
Generation: 185. Average fitness: 43 Max size: 44, Max repeated: 19
Regenerating population
Generation: 186. Average fitness: 32 Max size: 44, Max repeated: 0
Generation: 187. Average fitness: 32 Max size: 44, Max repeated: 1
Generation: 188. Average fitness: 33 Max size: 44, Max repeated: 2
Generation: 189. Average fitness: 33 Max size: 44, Max repeated: 3
Generation: 190. Average fitness: 34 Max size: 44, Max repeated: 4
Generation: 191. Average fitness: 34 Max size: 44, Max repeated: 5
Generation: 192. Average fitness: 36 Max size: 44, Max repeated: 6
Generation: 193. Average fitness: 37 Max size: 44, Max repeated: 7
Generation: 194. Average fitness: 40 Max size: 44, Max repeated: 8
Generation: 195. Average fitness: 42 Max size: 44, Max repeated: 9
Generation: 196. Average fitness: 43 Max size: 44, Max repeated: 10
Generation: 197. Average fitness: 43 Max size: 44, Max repeated: 11
Generation: 198. Average fitness: 43 Max size: 44, Max repeated: 12
Generation: 199. Average fitness: 43 Max size: 44, Max repeated: 13
Clique result for file: DIMACS_cliques/san200_0.9_3.clq
Max clique size: 44
Vertices in max clique: 142 198 36 7 119 131 158 147 43 197 187 100 118 33 13 66 110 48 176 194 39 67 101 79 19 86 188 46 49 112 125 59 99 104 26 93 146 73 130 77 116 196 88 141 
