Generation: 99. Average fitness: 21 Max size: 27, Max repeated: 9
Generation: 100. Average fitness: 21 Max size: 27, Max repeated: 10
Generation: 101. Average fitness: 21 Max size: 27, Max repeated: 11
Generation: 102. Average fitness: 21 Max size: 27, Max repeated: 12
Generation: 103. Average fitness: 21 Max size: 27, Max repeated: 13
Generation: 104. Average fitness: 22 Max size: 27, Max repeated: 14
Generation: 105. Average fitness: 22 Max size: 27, Max repeated: 15
Generation: 106. Average fitness: 22 Max size: 27, Max repeated: 16
Generation: 107. Average fitness: 22 Max size: 27, Max repeated: 17
Generation: 108. Average fitness: 22 Max size: 27, Max repeated: 18
Generation: 109. Average fitness: 22 Max size: 27, Max repeated: 19
Regenerating population
Generation: 110. Average fitness: 20 Max size: 27, Max repeated: 0
Generation: 111. Average fitness: 20 Max size: 27, Max repeated: 1
Generation: 112. Average fitness: 20 Max size: 27, Max repeated: 2
Generation: 113. Average fitness: 21 Max size: 27, Max repeated: 3
Generation: 114. Average fitness: 21 Max size: 27, Max repeated: 4
Generation: 115. Average fitness: 21 Max size: 27, Max repeated: 5
Generation: 116. Average fitness: 21 Max size: 27, Max repeated: 6
Generation: 117. Average fitness: 21 Max size: 27, Max repeated: 7
Generation: 118. Average fitness: 21 Max size: 27, Max repeated: 8
Generation: 119. Average fitness: 21 Max size: 27, Max repeated: 9
Generation: 120. Average fitness: 21 Max size: 27, Max repeated: 10
Generation: 121. Average fitness: 21 Max size: 27, Max repeated: 11
Generation: 122. Average fitness: 21 Max size: 27, Max repeated: 12
Generation: 123. Average fitness: 21 Max size: 27, Max repeated: 13
Generation: 124. Average fitness: 22 Max size: 27, Max repeated: 14
Generation: 125. Average fitness: 22 Max size: 27, Max repeated: 15
Generation: 126. Average fitness: 22 Max size: 27, Max repeated: 16
Generation: 127. Average fitness: 22 Max size: 27, Max repeated: 17
Generation: 128. Average fitness: 23 Max size: 27, Max repeated: 18
Generation: 129. Average fitness: 23 Max size: 27, Max repeated: 19
Regenerating population
Generation: 130. Average fitness: 20 Max size: 27, Max repeated: 0
Generation: 131. Average fitness: 20 Max size: 27, Max repeated: 1
Generation: 132. Average fitness: 21 Max size: 27, Max repeated: 2
Generation: 133. Average fitness: 21 Max size: 27, Max repeated: 3
Generation: 134. Average fitness: 21 Max size: 27, Max repeated: 4
Generation: 135. Average fitness: 21 Max size: 27, Max repeated: 5
Generation: 136. Average fitness: 21 Max size: 27, Max repeated: 6
Generation: 137. Average fitness: 21 Max size: 27, Max repeated: 7
Generation: 138. Average fitness: 21 Max size: 27, Max repeated: 8
Generation: 139. Average fitness: 21 Max size: 27, Max repeated: 9
Generation: 140. Average fitness: 21 Max size: 27, Max repeated: 10
Generation: 141. Average fitness: 21 Max size: 27, Max repeated: 11
Generation: 142. Average fitness: 21 Max size: 27, Max repeated: 12
Generation: 143. Average fitness: 21 Max size: 27, Max repeated: 13
Generation: 144. Average fitness: 21 Max size: 27, Max repeated: 14
Generation: 145. Average fitness: 21 Max size: 27, Max repeated: 15
Generation: 146. Average fitness: 21 Max size: 27, Max repeated: 16
Generation: 147. Average fitness: 22 Max size: 27, Max repeated: 17
Generation: 148. Average fitness: 22 Max size: 27, Max repeated: 18
Generation: 149. Average fitness: 22 Max size: 27, Max repeated: 19
Regenerating population
Generation: 150. Average fitness: 20 Max size: 27, Max repeated: 0
Generation: 151. Average fitness: 20 Max size: 27, Max repeated: 1
Generation: 152. Average fitness: 21 Max size: 27, Max repeated: 2
Generation: 153. Average fitness: 21 Max size: 27, Max repeated: 3
Generation: 154. Average fitness: 21 Max size: 27, Max repeated: 4
Generation: 155. Average fitness: 21 Max size: 27, Max repeated: 5
Generation: 156. Average fitness: 21 Max size: 27, Max repeated: 6
Generation: 157. Average fitness: 21 Max size: 27, Max repeated: 7
Generation: 158. Average fitness: 21 Max size: 27, Max repeated: 8
Generation: 159. Average fitness: 21 Max size: 27, Max repeated: 9
Generation: 160. Average fitness: 21 Max size: 27, Max repeated: 10
Generation: 161. Average fitness: 21 Max size: 27, Max repeated: 11
Generation: 162. Average fitness: 21 Max size: 27, Max repeated: 12
Generation: 163. Average fitness: 21 Max size: 27, Max repeated: 13
Generation: 164. Average fitness: 21 Max size: 27, Max repeated: 14
Generation: 165. Average fitness: 21 Max size: 27, Max repeated: 15
Generation: 166. Average fitness: 21 Max size: 27, Max repeated: 16
Generation: 167. Average fitness: 21 Max size: 27, Max repeated: 17
Generation: 168. Average fitness: 21 Max size: 27, Max repeated: 18
Generation: 169. Average fitness: 21 Max size: 27, Max repeated: 19
Regenerating population
Generation: 170. Average fitness: 20 Max size: 27, Max repeated: 0
Generation: 171. Average fitness: 20 Max size: 27, Max repeated: 1
