Generation: 0. Average fitness: 23 Max size: 26, Max repeated: 1
Generation: 1. Average fitness: 23 Max size: 26, Max repeated: 1
Generation: 2. Average fitness: 24 Max size: 26, Max repeated: 2
Generation: 3. Average fitness: 24 Max size: 26, Max repeated: 3
Generation: 4. Average fitness: 25 Max size: 27, Max repeated: 4
Generation: 5. Average fitness: 25 Max size: 27, Max repeated: 1
Generation: 6. Average fitness: 25 Max size: 27, Max repeated: 2
Generation: 7. Average fitness: 25 Max size: 27, Max repeated: 3
Generation: 8. Average fitness: 25 Max size: 27, Max repeated: 4
Generation: 9. Average fitness: 26 Max size: 27, Max repeated: 5
Generation: 10. Average fitness: 26 Max size: 27, Max repeated: 6
Generation: 11. Average fitness: 26 Max size: 27, Max repeated: 7
Generation: 12. Average fitness: 26 Max size: 27, Max repeated: 8
Generation: 13. Average fitness: 26 Max size: 27, Max repeated: 9
Generation: 14. Average fitness: 26 Max size: 27, Max repeated: 10
Generation: 15. Average fitness: 26 Max size: 27, Max repeated: 11
Generation: 16. Average fitness: 26 Max size: 27, Max repeated: 12
Generation: 17. Average fitness: 26 Max size: 27, Max repeated: 13
Generation: 18. Average fitness: 26 Max size: 27, Max repeated: 14
Generation: 19. Average fitness: 26 Max size: 27, Max repeated: 15
Generation: 20. Average fitness: 26 Max size: 27, Max repeated: 16
Generation: 21. Average fitness: 27 Max size: 27, Max repeated: 17
Generation: 22. Average fitness: 27 Max size: 27, Max repeated: 18
Generation: 23. Average fitness: 27 Max size: 27, Max repeated: 19
Regenerating population
Generation: 24. Average fitness: 22 Max size: 27, Max repeated: 0
Generation: 25. Average fitness: 23 Max size: 27, Max repeated: 1
Generation: 26. Average fitness: 24 Max size: 27, Max repeated: 2
Generation: 27. Average fitness: 24 Max size: 27, Max repeated: 3
Generation: 28. Average fitness: 24 Max size: 27, Max repeated: 4
Generation: 29. Average fitness: 25 Max size: 27, Max repeated: 5
Generation: 30. Average fitness: 25 Max size: 27, Max repeated: 6
Generation: 31. Average fitness: 26 Max size: 27, Max repeated: 7
Generation: 32. Average fitness: 26 Max size: 27, Max repeated: 8
Generation: 33. Average fitness: 26 Max size: 27, Max repeated: 9
Generation: 34. Average fitness: 26 Max size: 27, Max repeated: 10
Generation: 35. Average fitness: 26 Max size: 27, Max repeated: 11
Generation: 36. Average fitness: 26 Max size: 27, Max repeated: 12
Generation: 37. Average fitness: 26 Max size: 27, Max repeated: 13
Generation: 38. Average fitness: 26 Max size: 27, Max repeated: 14
Generation: 39. Average fitness: 26 Max size: 27, Max repeated: 15
Generation: 40. Average fitness: 26 Max size: 27, Max repeated: 16
Generation: 41. Average fitness: 26 Max size: 27, Max repeated: 17
Generation: 42. Average fitness: 26 Max size: 27, Max repeated: 18
Generation: 43. Average fitness: 26 Max size: 27, Max repeated: 19
Regenerating population
Generation: 44. Average fitness: 22 Max size: 27, Max repeated: 0
Generation: 45. Average fitness: 23 Max size: 27, Max repeated: 1
Generation: 46. Average fitness: 24 Max size: 27, Max repeated: 2
Generation: 47. Average fitness: 25 Max size: 27, Max repeated: 3
Generation: 48. Average fitness: 25 Max size: 27, Max repeated: 4
Generation: 49. Average fitness: 26 Max size: 27, Max repeated: 5
Generation: 50. Average fitness: 26 Max size: 27, Max repeated: 6
Generation: 51. Average fitness: 26 Max size: 27, Max repeated: 7
Generation: 52. Average fitness: 26 Max size: 27, Max repeated: 8
Generation: 53. Average fitness: 26 Max size: 27, Max repeated: 9
Generation: 54. Average fitness: 26 Max size: 27, Max repeated: 10
Generation: 55. Average fitness: 26 Max size: 27, Max repeated: 11
Generation: 56. Average fitness: 26 Max size: 27, Max repeated: 12
Generation: 57. Average fitness: 26 Max size: 27, Max repeated: 13
Generation: 58. Average fitness: 26 Max size: 27, Max repeated: 14
Generation: 59. Average fitness: 26 Max size: 27, Max repeated: 15
Generation: 60. Average fitness: 26 Max size: 27, Max repeated: 16
Generation: 61. Average fitness: 26 Max size: 27, Max repeated: 17
Generation: 62. Average fitness: 26 Max size: 27, Max repeated: 18
Generation: 63. Average fitness: 26 Max size: 27, Max repeated: 19
Regenerating population
Generation: 64. Average fitness: 23 Max size: 27, Max repeated: 0
Generation: 65. Average fitness: 23 Max size: 27, Max repeated: 1
Generation: 66. Average fitness: 24 Max size: 27, Max repeated: 2
Generation: 67. Average fitness: 24 Max size: 27, Max repeated: 3
Generation: 68. Average fitness: 24 Max size: 27, Max repeated: 4
Generation: 69. Average fitness: 25 Max size: 27, Max repeated: 5
Generation: 70. Average fitness: 26 Max size: 27, Max repeated: 6
Generation: 71. Average fitness: 26 Max size: 27, Max repeated: 7
Generation: 72. Average fitness: 27 Max size: 27, Max repeated: 8
Generation: 73. Average fitness: 27 Max size: 27, Max repeated: 9
Generation: 74. Average fitness: 27 Max size: 27, Max repeated: 10
Generation: 75. Average fitness: 27 Max size: 27, Max repeated: 11
