Generation: 0. Average fitness: 21 Max size: 23, Max repeated: 1
Generation: 1. Average fitness: 21 Max size: 23, Max repeated: 1
Generation: 2. Average fitness: 21 Max size: 23, Max repeated: 2
Generation: 3. Average fitness: 22 Max size: 24, Max repeated: 3
Generation: 4. Average fitness: 22 Max size: 24, Max repeated: 1
Generation: 5. Average fitness: 22 Max size: 24, Max repeated: 2
Generation: 6. Average fitness: 23 Max size: 24, Max repeated: 3
Generation: 7. Average fitness: 23 Max size: 24, Max repeated: 4
Generation: 8. Average fitness: 23 Max size: 24, Max repeated: 5
Generation: 9. Average fitness: 23 Max size: 24, Max repeated: 6
Generation: 10. Average fitness: 23 Max size: 24, Max repeated: 7
Generation: 11. Average fitness: 23 Max size: 24, Max repeated: 8
Generation: 12. Average fitness: 23 Max size: 24, Max repeated: 9
Generation: 13. Average fitness: 23 Max size: 24, Max repeated: 10
Generation: 14. Average fitness: 23 Max size: 24, Max repeated: 11
Generation: 15. Average fitness: 24 Max size: 24, Max repeated: 12
Generation: 16. Average fitness: 23 Max size: 24, Max repeated: 13
Generation: 17. Average fitness: 23 Max size: 24, Max repeated: 14
Generation: 18. Average fitness: 23 Max size: 24, Max repeated: 15
Generation: 19. Average fitness: 24 Max size: 24, Max repeated: 16
Generation: 20. Average fitness: 24 Max size: 24, Max repeated: 17
Generation: 21. Average fitness: 24 Max size: 24, Max repeated: 18
Generation: 22. Average fitness: 23 Max size: 24, Max repeated: 19
Regenerating population
Generation: 23. Average fitness: 20 Max size: 24, Max repeated: 0
Generation: 24. Average fitness: 21 Max size: 24, Max repeated: 1
Generation: 25. Average fitness: 21 Max size: 24, Max repeated: 2
Generation: 26. Average fitness: 21 Max size: 24, Max repeated: 3
Generation: 27. Average fitness: 21 Max size: 24, Max repeated: 4
Generation: 28. Average fitness: 21 Max size: 24, Max repeated: 5
Generation: 29. Average fitness: 22 Max size: 24, Max repeated: 6
Generation: 30. Average fitness: 23 Max size: 24, Max repeated: 7
Generation: 31. Average fitness: 23 Max size: 24, Max repeated: 8
Generation: 32. Average fitness: 24 Max size: 24, Max repeated: 9
Generation: 33. Average fitness: 24 Max size: 24, Max repeated: 10
Generation: 34. Average fitness: 24 Max size: 24, Max repeated: 11
Generation: 35. Average fitness: 24 Max size: 24, Max repeated: 12
Generation: 36. Average fitness: 24 Max size: 24, Max repeated: 13
Generation: 37. Average fitness: 24 Max size: 24, Max repeated: 14
Generation: 38. Average fitness: 24 Max size: 24, Max repeated: 15
Generation: 39. Average fitness: 24 Max size: 24, Max repeated: 16
Generation: 40. Average fitness: 24 Max size: 24, Max repeated: 17
Generation: 41. Average fitness: 24 Max size: 24, Max repeated: 18
Generation: 42. Average fitness: 24 Max size: 24, Max repeated: 19
Regenerating population
Generation: 43. Average fitness: 20 Max size: 24, Max repeated: 0
Generation: 44. Average fitness: 21 Max size: 24, Max repeated: 1
Generation: 45. Average fitness: 21 Max size: 24, Max repeated: 2
Generation: 46. Average fitness: 21 Max size: 24, Max repeated: 3
Generation: 47. Average fitness: 22 Max size: 24, Max repeated: 4
Generation: 48. Average fitness: 22 Max size: 24, Max repeated: 5
Generation: 49. Average fitness: 22 Max size: 24, Max repeated: 6
Generation: 50. Average fitness: 22 Max size: 24, Max repeated: 7
Generation: 51. Average fitness: 22 Max size: 24, Max repeated: 8
Generation: 52. Average fitness: 22 Max size: 24, Max repeated: 9
Generation: 53. Average fitness: 22 Max size: 24, Max repeated: 10
Generation: 54. Average fitness: 22 Max size: 24, Max repeated: 11
Generation: 55. Average fitness: 23 Max size: 24, Max repeated: 12
Generation: 56. Average fitness: 23 Max size: 24, Max repeated: 13
Generation: 57. Average fitness: 23 Max size: 24, Max repeated: 14
Generation: 58. Average fitness: 23 Max size: 24, Max repeated: 15
Generation: 59. Average fitness: 24 Max size: 24, Max repeated: 16
Generation: 60. Average fitness: 23 Max size: 24, Max repeated: 17
Generation: 61. Average fitness: 24 Max size: 24, Max repeated: 18
Generation: 62. Average fitness: 24 Max size: 24, Max repeated: 19
Regenerating population
Generation: 63. Average fitness: 20 Max size: 24, Max repeated: 0
Generation: 64. Average fitness: 21 Max size: 24, Max repeated: 1
Generation: 65. Average fitness: 21 Max size: 24, Max repeated: 2
Generation: 66. Average fitness: 22 Max size: 24, Max repeated: 3
Generation: 67. Average fitness: 22 Max size: 24, Max repeated: 4
Generation: 68. Average fitness: 22 Max size: 24, Max repeated: 5
Generation: 69. Average fitness: 22 Max size: 25, Max repeated: 6
Generation: 70. Average fitness: 23 Max size: 25, Max repeated: 1
Generation: 71. Average fitness: 23 Max size: 25, Max repeated: 2
Generation: 72. Average fitness: 24 Max size: 25, Max repeated: 3
Generation: 73. Average fitness: 24 Max size: 25, Max repeated: 4
Generation: 74. Average fitness: 24 Max size: 25, Max repeated: 5
Generation: 75. Average fitness: 25 Max size: 25, Max repeated: 6
Generation: 76. Average fitness: 25 Max size: 25, Max repeated: 7
Generation: 77. Average fitness: 25 Max size: 25, Max repeated: 8
Generation: 78. Average fitness: 25 Max size: 25, Max repeated: 9
Generation: 79. Average fitness: 25 Max size: 25, Max repeated: 10
Generation: 80. Average fitness: 25 Max size: 25, Max repeated: 11
Generation: 81. Average fitness: 25 Max size: 25, Max repeated: 12
Generation: 82. Average fitness: 25 Max size: 25, Max repeated: 13
Generation: 83. Average fitness: 25 Max size: 25, Max repeated: 14
Generation: 84. Average fitness: 25 Max size: 25, Max repeated: 15
Generation: 85. Average fitness: 25 Max size: 25, Max repeated: 16
Generation: 86. Average fitness: 25 Max size: 25, Max repeated: 17
Generation: 87. Average fitness: 25 Max size: 25, Max repeated: 18
Generation: 88. Average fitness: 25 Max size: 25, Max repeated: 19
Regenerating population
Generation: 89. Average fitness: 21 Max size: 25, Max repeated: 0
Generation: 90. Average fitness: 21 Max size: 25, Max repeated: 1
Generation: 91. Average fitness: 21 Max size: 25, Max repeated: 2
Generation: 92. Average fitness: 22 Max size: 25, Max repeated: 3
Generation: 93. Average fitness: 22 Max size: 25, Max repeated: 4
Generation: 94. Average fitness: 22 Max size: 25, Max repeated: 5
Generation: 95. Average fitness: 22 Max size: 25, Max repeated: 6
Generation: 96. Average fitness: 22 Max size: 25, Max repeated: 7
Generation: 97. Average fitness: 22 Max size: 25, Max repeated: 8
Generation: 98. Average fitness: 22 Max size: 25, Max repeated: 9
Generation: 99. Average fitness: 22 Max size: 25, Max repeated: 10
Generation: 100. Average fitness: 22 Max size: 25, Max repeated: 11
Generation: 101. Average fitness: 22 Max size: 25, Max repeated: 12
Generation: 102. Average fitness: 22 Max size: 25, Max repeated: 13
Generation: 103. Average fitness: 22 Max size: 25, Max repeated: 14
Generation: 104. Average fitness: 23 Max size: 25, Max repeated: 15
Generation: 105. Average fitness: 23 Max size: 25, Max repeated: 16
Generation: 106. Average fitness: 23 Max size: 25, Max repeated: 17
Generation: 107. Average fitness: 23 Max size: 25, Max repeated: 18
Generation: 108. Average fitness: 23 Max size: 25, Max repeated: 19
Regenerating population
Generation: 109. Average fitness: 20 Max size: 25, Max repeated: 0
Generation: 110. Average fitness: 21 Max size: 25, Max repeated: 1
Generation: 111. Average fitness: 21 Max size: 25, Max repeated: 2
Generation: 112. Average fitness: 22 Max size: 25, Max repeated: 3
Generation: 113. Average fitness: 22 Max size: 25, Max repeated: 4
Generation: 114. Average fitness: 22 Max size: 25, Max repeated: 5
Generation: 115. Average fitness: 22 Max size: 25, Max repeated: 6
Generation: 116. Average fitness: 22 Max size: 25, Max repeated: 7
Generation: 117. Average fitness: 22 Max size: 25, Max repeated: 8
Generation: 118. Average fitness: 23 Max size: 25, Max repeated: 9
Generation: 119. Average fitness: 23 Max size: 25, Max repeated: 10
Generation: 120. Average fitness: 23 Max size: 25, Max repeated: 11
Generation: 121. Average fitness: 23 Max size: 25, Max repeated: 12
Generation: 122. Average fitness: 23 Max size: 25, Max repeated: 13
Generation: 123. Average fitness: 23 Max size: 25, Max repeated: 14
Generation: 124. Average fitness: 23 Max size: 25, Max repeated: 15
Generation: 125. Average fitness: 23 Max size: 25, Max repeated: 16
Generation: 126. Average fitness: 23 Max size: 25, Max repeated: 17
Generation: 127. Average fitness: 23 Max size: 25, Max repeated: 18
Generation: 128. Average fitness: 23 Max size: 25, Max repeated: 19
Regenerating population
Generation: 129. Average fitness: 20 Max size: 25, Max repeated: 0
Generation: 130. Average fitness: 21 Max size: 25, Max repeated: 1
Generation: 131. Average fitness: 21 Max size: 25, Max repeated: 2
Generation: 132. Average fitness: 21 Max size: 25, Max repeated: 3
Generation: 133. Average fitness: 21 Max size: 25, Max repeated: 4
Generation: 134. Average fitness: 22 Max size: 25, Max repeated: 5
Generation: 135. Average fitness: 22 Max size: 25, Max repeated: 6
Generation: 136. Average fitness: 22 Max size: 25, Max repeated: 7
Generation: 137. Average fitness: 23 Max size: 27, Max repeated: 8
Generation: 138. Average fitness: 23 Max size: 27, Max repeated: 1
Generation: 139. Average fitness: 23 Max size: 27, Max repeated: 2
Generation: 140. Average fitness: 23 Max size: 27, Max repeated: 3
Generation: 141. Average fitness: 24 Max size: 27, Max repeated: 4
Generation: 142. Average fitness: 25 Max size: 27, Max repeated: 5
Generation: 143. Average fitness: 26 Max size: 27, Max repeated: 6
Generation: 144. Average fitness: 27 Max size: 27, Max repeated: 7
Generation: 145. Average fitness: 27 Max size: 27, Max repeated: 8
Generation: 146. Average fitness: 27 Max size: 27, Max repeated: 9
Generation: 147. Average fitness: 27 Max size: 27, Max repeated: 10
Generation: 148. Average fitness: 27 Max size: 27, Max repeated: 11
Generation: 149. Average fitness: 27 Max size: 27, Max repeated: 12
Generation: 150. Average fitness: 27 Max size: 27, Max repeated: 13
Generation: 151. Average fitness: 27 Max size: 27, Max repeated: 14
Generation: 152. Average fitness: 27 Max size: 27, Max repeated: 15
Generation: 153. Average fitness: 27 Max size: 27, Max repeated: 16
Generation: 154. Average fitness: 27 Max size: 27, Max repeated: 17
Generation: 155. Average fitness: 27 Max size: 27, Max repeated: 18
Generation: 156. Average fitness: 27 Max size: 27, Max repeated: 19
Regenerating population
Generation: 157. Average fitness: 20 Max size: 27, Max repeated: 0
Generation: 158. Average fitness: 21 Max size: 27, Max repeated: 1
Generation: 159. Average fitness: 21 Max size: 27, Max repeated: 2
Generation: 160. Average fitness: 21 Max size: 27, Max repeated: 3
Generation: 161. Average fitness: 22 Max size: 27, Max repeated: 4
Generation: 162. Average fitness: 22 Max size: 27, Max repeated: 5
Generation: 163. Average fitness: 22 Max size: 27, Max repeated: 6
Generation: 164. Average fitness: 22 Max size: 27, Max repeated: 7
Generation: 165. Average fitness: 22 Max size: 27, Max repeated: 8
Generation: 166. Average fitness: 22 Max size: 27, Max repeated: 9
Generation: 167. Average fitness: 22 Max size: 27, Max repeated: 10
Generation: 168. Average fitness: 23 Max size: 27, Max repeated: 11
Generation: 169. Average fitness: 23 Max size: 27, Max repeated: 12
Generation: 170. Average fitness: 23 Max size: 27, Max repeated: 13
Generation: 171. Average fitness: 23 Max size: 27, Max repeated: 14
Generation: 172. Average fitness: 23 Max size: 27, Max repeated: 15
Generation: 173. Average fitness: 23 Max size: 27, Max repeated: 16
Generation: 174. Average fitness: 24 Max size: 27, Max repeated: 17
Generation: 175. Average fitness: 24 Max size: 27, Max repeated: 18
Generation: 176. Average fitness: 24 Max size: 27, Max repeated: 19
Regenerating population
Generation: 177. Average fitness: 20 Max size: 27, Max repeated: 0
Generation: 178. Average fitness: 21 Max size: 27, Max repeated: 1
Generation: 179. Average fitness: 21 Max size: 27, Max repeated: 2
