Generation: 143. Average fitness: 65 Max size: 65, Max repeated: 17
Generation: 144. Average fitness: 65 Max size: 65, Max repeated: 18
Generation: 145. Average fitness: 65 Max size: 65, Max repeated: 19
Regenerating population
Generation: 146. Average fitness: 43 Max size: 65, Max repeated: 0
Generation: 147. Average fitness: 44 Max size: 65, Max repeated: 1
Generation: 148. Average fitness: 47 Max size: 65, Max repeated: 2
Generation: 149. Average fitness: 54 Max size: 65, Max repeated: 3
Generation: 150. Average fitness: 60 Max size: 65, Max repeated: 4
Generation: 151. Average fitness: 64 Max size: 65, Max repeated: 5
Generation: 152. Average fitness: 64 Max size: 65, Max repeated: 6
Generation: 153. Average fitness: 65 Max size: 65, Max repeated: 7
Generation: 154. Average fitness: 65 Max size: 65, Max repeated: 8
Generation: 155. Average fitness: 65 Max size: 65, Max repeated: 9
Generation: 156. Average fitness: 65 Max size: 65, Max repeated: 10
Generation: 157. Average fitness: 65 Max size: 65, Max repeated: 11
Generation: 158. Average fitness: 65 Max size: 65, Max repeated: 12
Generation: 159. Average fitness: 65 Max size: 65, Max repeated: 13
Generation: 160. Average fitness: 65 Max size: 65, Max repeated: 14
Generation: 161. Average fitness: 65 Max size: 65, Max repeated: 15
Generation: 162. Average fitness: 65 Max size: 65, Max repeated: 16
Generation: 163. Average fitness: 65 Max size: 65, Max repeated: 17
Generation: 164. Average fitness: 65 Max size: 65, Max repeated: 18
Generation: 165. Average fitness: 65 Max size: 65, Max repeated: 19
Regenerating population
Generation: 166. Average fitness: 43 Max size: 65, Max repeated: 0
Generation: 167. Average fitness: 44 Max size: 65, Max repeated: 1
Generation: 168. Average fitness: 45 Max size: 65, Max repeated: 2
Generation: 169. Average fitness: 49 Max size: 65, Max repeated: 3
Generation: 170. Average fitness: 55 Max size: 65, Max repeated: 4
Generation: 171. Average fitness: 61 Max size: 65, Max repeated: 5
Generation: 172. Average fitness: 64 Max size: 65, Max repeated: 6
Generation: 173. Average fitness: 64 Max size: 65, Max repeated: 7
Generation: 174. Average fitness: 65 Max size: 65, Max repeated: 8
Generation: 175. Average fitness: 65 Max size: 65, Max repeated: 9
Generation: 176. Average fitness: 65 Max size: 65, Max repeated: 10
Generation: 177. Average fitness: 65 Max size: 65, Max repeated: 11
Generation: 178. Average fitness: 65 Max size: 65, Max repeated: 12
Generation: 179. Average fitness: 65 Max size: 65, Max repeated: 13
Generation: 180. Average fitness: 65 Max size: 65, Max repeated: 14
Generation: 181. Average fitness: 65 Max size: 65, Max repeated: 15
Generation: 182. Average fitness: 65 Max size: 65, Max repeated: 16
Generation: 183. Average fitness: 65 Max size: 65, Max repeated: 17
Generation: 184. Average fitness: 65 Max size: 65, Max repeated: 18
Generation: 185. Average fitness: 65 Max size: 65, Max repeated: 19
Regenerating population
Generation: 186. Average fitness: 42 Max size: 65, Max repeated: 0
Generation: 187. Average fitness: 44 Max size: 65, Max repeated: 1
Generation: 188. Average fitness: 45 Max size: 65, Max repeated: 2
Generation: 189. Average fitness: 48 Max size: 65, Max repeated: 3
Generation: 190. Average fitness: 54 Max size: 65, Max repeated: 4
Generation: 191. Average fitness: 61 Max size: 65, Max repeated: 5
Generation: 192. Average fitness: 64 Max size: 65, Max repeated: 6
Generation: 193. Average fitness: 64 Max size: 65, Max repeated: 7
Generation: 194. Average fitness: 65 Max size: 65, Max repeated: 8
Generation: 195. Average fitness: 65 Max size: 65, Max repeated: 9
Generation: 196. Average fitness: 65 Max size: 65, Max repeated: 10
Generation: 197. Average fitness: 65 Max size: 65, Max repeated: 11
Generation: 198. Average fitness: 65 Max size: 65, Max repeated: 12
Generation: 199. Average fitness: 65 Max size: 65, Max repeated: 13
Clique result for file: datasets/dimacs_cliques\gen400_p0.9_65.clq
Max clique size: 65
Vertices in max clique: 144 118 137 246 24 393 187 380 8 257 366 340 50 362 394 47 46 38 197 338 350 329 234 175 57 52 35 209 170 259 252 27 315 382 167 342 227 273 184 162 68 282 286 233 157 108 160 13 378 177 4 49 239 205 374 115 180 165 217 289 358 19 333 243 181 
