Generation: 34. Average fitness: 339 Max size: 342, Max repeated: 8
Generation: 35. Average fitness: 339 Max size: 342, Max repeated: 9
Generation: 36. Average fitness: 339 Max size: 342, Max repeated: 10
Generation: 37. Average fitness: 339 Max size: 342, Max repeated: 11
Generation: 38. Average fitness: 339 Max size: 342, Max repeated: 12
Generation: 39. Average fitness: 340 Max size: 342, Max repeated: 13
Generation: 40. Average fitness: 340 Max size: 342, Max repeated: 14
Generation: 41. Average fitness: 340 Max size: 342, Max repeated: 15
Generation: 42. Average fitness: 340 Max size: 342, Max repeated: 16
Generation: 43. Average fitness: 340 Max size: 342, Max repeated: 17
Generation: 44. Average fitness: 340 Max size: 342, Max repeated: 18
Generation: 45. Average fitness: 341 Max size: 342, Max repeated: 19
Regenerating population
Generation: 46. Average fitness: 336 Max size: 342, Max repeated: 0
Generation: 47. Average fitness: 337 Max size: 342, Max repeated: 1
Generation: 48. Average fitness: 338 Max size: 342, Max repeated: 2
Generation: 49. Average fitness: 338 Max size: 342, Max repeated: 3
Generation: 50. Average fitness: 338 Max size: 342, Max repeated: 4
Generation: 51. Average fitness: 339 Max size: 342, Max repeated: 5
Generation: 52. Average fitness: 339 Max size: 342, Max repeated: 6
Generation: 53. Average fitness: 339 Max size: 342, Max repeated: 7
Generation: 54. Average fitness: 339 Max size: 342, Max repeated: 8
Generation: 55. Average fitness: 339 Max size: 342, Max repeated: 9
Generation: 56. Average fitness: 339 Max size: 342, Max repeated: 10
Generation: 57. Average fitness: 339 Max size: 342, Max repeated: 11
Generation: 58. Average fitness: 339 Max size: 342, Max repeated: 12
Generation: 59. Average fitness: 339 Max size: 342, Max repeated: 13
Generation: 60. Average fitness: 339 Max size: 342, Max repeated: 14
Generation: 61. Average fitness: 339 Max size: 342, Max repeated: 15
Generation: 62. Average fitness: 340 Max size: 342, Max repeated: 16
Generation: 63. Average fitness: 340 Max size: 342, Max repeated: 17
Generation: 64. Average fitness: 340 Max size: 342, Max repeated: 18
Generation: 65. Average fitness: 340 Max size: 342, Max repeated: 19
Regenerating population
Generation: 66. Average fitness: 336 Max size: 342, Max repeated: 0
Generation: 67. Average fitness: 337 Max size: 342, Max repeated: 1
Generation: 68. Average fitness: 338 Max size: 342, Max repeated: 2
Generation: 69. Average fitness: 339 Max size: 342, Max repeated: 3
Generation: 70. Average fitness: 339 Max size: 342, Max repeated: 4
Generation: 71. Average fitness: 338 Max size: 342, Max repeated: 5
Generation: 72. Average fitness: 338 Max size: 342, Max repeated: 6
Generation: 73. Average fitness: 338 Max size: 342, Max repeated: 7
Generation: 74. Average fitness: 339 Max size: 342, Max repeated: 8
Generation: 75. Average fitness: 339 Max size: 342, Max repeated: 9
Generation: 76. Average fitness: 339 Max size: 342, Max repeated: 10
Generation: 77. Average fitness: 339 Max size: 342, Max repeated: 11
Generation: 78. Average fitness: 339 Max size: 342, Max repeated: 12
Generation: 79. Average fitness: 339 Max size: 342, Max repeated: 13
Generation: 80. Average fitness: 339 Max size: 342, Max repeated: 14
Generation: 81. Average fitness: 339 Max size: 342, Max repeated: 15
Generation: 82. Average fitness: 340 Max size: 342, Max repeated: 16
Generation: 83. Average fitness: 340 Max size: 342, Max repeated: 17
Generation: 84. Average fitness: 340 Max size: 342, Max repeated: 18
Generation: 85. Average fitness: 340 Max size: 342, Max repeated: 19
Regenerating population
Generation: 86. Average fitness: 336 Max size: 342, Max repeated: 0
