Gen: 33. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 34. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 35. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 36. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 37. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 38. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Regenerating population
Gen: 39. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 40. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 41. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 42. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 43. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 44. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 45. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 46. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 47. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 48. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 49. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 50. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 51. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 52. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 53. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 54. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 55. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 56. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 57. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Regenerating population
Gen: 58. Avg: 12, Gen Max: 15, Max: 15, Gen. Max Repeated: 1
Gen: 59. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 2
Gen: 60. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 3
Gen: 61. Avg: 13, Gen Max: 15, Max: 15, Gen. Max Repeated: 4
Gen: 62. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 5
Gen: 63. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 6
Gen: 64. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 7
Gen: 65. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 8
Gen: 66. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 9
Gen: 67. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 10
Gen: 68. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 11
Gen: 69. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 12
Gen: 70. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 13
Gen: 71. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 14
Gen: 72. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 15
Gen: 73. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 16
Gen: 74. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 17
Gen: 75. Avg: 15, Gen Max: 15, Max: 15, Gen. Max Repeated: 18
Gen: 76. Avg: 14, Gen Max: 15, Max: 15, Gen. Max Repeated: 19
Regenerating population
