Gen: 106. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 107. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 108. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 109. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 110. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 111. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 112. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 113. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 114. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 115. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 116. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 117. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 118. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 119. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 120. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 121. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 122. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 123. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 124. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 125. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 126. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 127. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 128. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 129. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 130. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 131. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 132. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 133. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 134. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 135. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 136. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 137. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 138. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 139. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 140. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 141. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 142. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 143. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 144. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 145. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 146. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 147. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 148. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 149. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 150. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 151. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 152. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 153. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 154. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 155. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 156. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 157. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 158. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 159. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 160. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 161. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 162. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 163. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 164. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 165. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 166. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 167. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 168. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 169. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 170. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 171. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 172. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 173. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 174. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 175. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 176. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 177. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 178. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 179. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 180. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 181. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 182. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 183. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 184. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 185. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 186. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 187. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 188. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 189. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 190. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 191. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 192. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 193. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 194. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 195. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 196. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 197. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 198. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 199. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 200. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 201. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 202. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 203. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 204. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 205. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 206. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 207. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 208. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 209. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 210. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 211. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 212. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 213. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 214. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 215. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 216. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 217. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 218. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 219. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 220. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 221. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 222. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 223. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 224. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 225. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 226. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 227. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 228. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 229. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 230. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 231. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 232. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 233. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
Gen: 234. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 6
Gen: 235. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 7
Gen: 236. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 8
Gen: 237. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 9
Gen: 238. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 10
Gen: 239. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 11
Gen: 240. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 12
Gen: 241. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 13
Gen: 242. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 14
Gen: 243. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 15
Gen: 244. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 16
Gen: 245. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 17
Gen: 246. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 18
Gen: 247. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 19
Regenerating population
Gen: 248. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 1
Gen: 249. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 2
Gen: 250. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 3
Gen: 251. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 4
Gen: 252. Avg: 12, Gen Max: 12, Max: 12, Gen. Max Repeated: 5
