Gen: 73. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 74. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 75. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 76. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 77. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 78. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 79. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 80. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 81. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 82. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 83. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 84. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 85. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 86. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 87. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 88. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 89. Avg: 22, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 90. Avg: 23, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 91. Avg: 23, Gen Max: 26, Max: 27, Gen. Max Repeated: 2
Gen: 92. Avg: 23, Gen Max: 26, Max: 27, Gen. Max Repeated: 3
Gen: 93. Avg: 24, Gen Max: 26, Max: 27, Gen. Max Repeated: 4
Gen: 94. Avg: 24, Gen Max: 26, Max: 27, Gen. Max Repeated: 5
Gen: 95. Avg: 24, Gen Max: 26, Max: 27, Gen. Max Repeated: 6
Gen: 96. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 97. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 98. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 99. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 100. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 101. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 102. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 103. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 104. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 105. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 106. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 107. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 108. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 109. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 110. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 111. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 112. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 113. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 114. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 115. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 116. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 117. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 118. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 119. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 120. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 121. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 122. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 123. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 124. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 125. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 126. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 127. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 128. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 129. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 130. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 131. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 132. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 133. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 134. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 135. Avg: 23, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 136. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 137. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 138. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 139. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 140. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 141. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 142. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 143. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 144. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 145. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 146. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 147. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 148. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 149. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 150. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 151. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 152. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 153. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 154. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 155. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 156. Avg: 23, Gen Max: 25, Max: 27, Gen. Max Repeated: 1
Gen: 157. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 158. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 159. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 160. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 161. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 162. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 163. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 164. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 165. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 166. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 167. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 168. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 169. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 170. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 171. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 172. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 173. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 174. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 175. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 176. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 177. Avg: 22, Gen Max: 25, Max: 27, Gen. Max Repeated: 1
Gen: 178. Avg: 23, Gen Max: 26, Max: 27, Gen. Max Repeated: 1
Gen: 179. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 180. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 181. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 182. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 183. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 184. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 185. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 186. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 187. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 188. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 189. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 190. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 191. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 192. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 193. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 194. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 195. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 196. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 197. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
Gen: 198. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 19
Regenerating population
Gen: 199. Avg: 22, Gen Max: 25, Max: 27, Gen. Max Repeated: 1
Gen: 200. Avg: 23, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 201. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 1
Gen: 202. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 2
Gen: 203. Avg: 24, Gen Max: 27, Max: 27, Gen. Max Repeated: 3
Gen: 204. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 4
Gen: 205. Avg: 25, Gen Max: 27, Max: 27, Gen. Max Repeated: 5
Gen: 206. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 6
Gen: 207. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 7
Gen: 208. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 8
Gen: 209. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 9
Gen: 210. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 10
Gen: 211. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 11
Gen: 212. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 12
Gen: 213. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 13
Gen: 214. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 14
Gen: 215. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 15
Gen: 216. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 16
Gen: 217. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 17
Gen: 218. Avg: 26, Gen Max: 27, Max: 27, Gen. Max Repeated: 18
